Model size: 757K
Acc@10: 0.4970, Acc@20: 0.5420, Param Norm: 49.62, Grad Norm: 773.40
Acc@10: 0.7540, Acc@20: 0.8060, Param Norm: 49.92, Grad Norm: 104.69
Acc@10: 0.7000, Acc@20: 0.7970, Param Norm: 50.23, Grad Norm: 88.48
Acc@10: 0.8000, Acc@20: 0.8570, Param Norm: 50.51, Grad Norm: 49.53
Acc@10: 0.8160, Acc@20: 0.8730, Param Norm: 50.77, Grad Norm: 83.94
Acc@10: 0.7600, Acc@20: 0.8570, Param Norm: 51.11, Grad Norm: 42.87
Acc@10: 0.7970, Acc@20: 0.8790, Param Norm: 51.57, Grad Norm: 43.84
Acc@10: 0.8400, Acc@20: 0.8950, Param Norm: 51.93, Grad Norm: 54.45
Acc@10: 0.8180, Acc@20: 0.8850, Param Norm: 52.32, Grad Norm: 34.00
Acc@10: 0.8140, Acc@20: 0.8970, Param Norm: 52.75, Grad Norm: 31.99
Acc@10: 0.7920, Acc@20: 0.9130, Param Norm: 53.09, Grad Norm: 32.71
Acc@10: 0.8080, Acc@20: 0.8990, Param Norm: 53.52, Grad Norm: 32.57
Acc@10: 0.8450, Acc@20: 0.9150, Param Norm: 53.95, Grad Norm: 33.12
Acc@10: 0.8280, Acc@20: 0.9160, Param Norm: 54.42, Grad Norm: 28.11
Acc@10: 0.8420, Acc@20: 0.9260, Param Norm: 54.80, Grad Norm: 34.93
Acc@10: 0.8600, Acc@20: 0.9290, Param Norm: 55.23, Grad Norm: 85.15
Acc@10: 0.8710, Acc@20: 0.9370, Param Norm: 55.60, Grad Norm: 28.31
Acc@10: 0.8490, Acc@20: 0.9390, Param Norm: 55.97, Grad Norm: 22.94
Acc@10: 0.8400, Acc@20: 0.9290, Param Norm: 56.42, Grad Norm: 27.68
Acc@10: 0.8410, Acc@20: 0.9280, Param Norm: 56.85, Grad Norm: 43.70
Model Saved!
Acc@10: 0.8370, Acc@20: 0.9260, Param Norm: 57.26, Grad Norm: 30.96
Acc@10: 0.8770, Acc@20: 0.9530, Param Norm: 57.63, Grad Norm: 25.02
Acc@10: 0.8750, Acc@20: 0.9430, Param Norm: 57.91, Grad Norm: 28.58
Acc@10: 0.8590, Acc@20: 0.9400, Param Norm: 58.27, Grad Norm: 25.05
Acc@10: 0.8330, Acc@20: 0.9250, Param Norm: 58.66, Grad Norm: 19.28
Acc@10: 0.8800, Acc@20: 0.9480, Param Norm: 59.01, Grad Norm: 21.55
Acc@10: 0.8690, Acc@20: 0.9520, Param Norm: 59.42, Grad Norm: 26.68
Acc@10: 0.8630, Acc@20: 0.9500, Param Norm: 59.81, Grad Norm: 21.06
Acc@10: 0.8800, Acc@20: 0.9540, Param Norm: 60.14, Grad Norm: 19.46
Acc@10: 0.8640, Acc@20: 0.9440, Param Norm: 60.53, Grad Norm: 22.27
Acc@10: 0.8760, Acc@20: 0.9500, Param Norm: 60.97, Grad Norm: 22.02
Acc@10: 0.8690, Acc@20: 0.9410, Param Norm: 61.38, Grad Norm: 20.15
Acc@10: 0.8550, Acc@20: 0.9450, Param Norm: 61.71, Grad Norm: 20.08
Acc@10: 0.8790, Acc@20: 0.9610, Param Norm: 62.02, Grad Norm: 18.49
Acc@10: 0.8540, Acc@20: 0.9450, Param Norm: 62.41, Grad Norm: 18.34
Acc@10: 0.8570, Acc@20: 0.9440, Param Norm: 62.79, Grad Norm: 20.26
Acc@10: 0.8590, Acc@20: 0.9520, Param Norm: 63.18, Grad Norm: 17.36
Acc@10: 0.8750, Acc@20: 0.9580, Param Norm: 63.54, Grad Norm: 17.90
Acc@10: 0.8810, Acc@20: 0.9660, Param Norm: 63.87, Grad Norm: 18.91
Acc@10: 0.8550, Acc@20: 0.9550, Param Norm: 64.29, Grad Norm: 15.47
Model Saved!
Acc@10: 0.8400, Acc@20: 0.9450, Param Norm: 64.55, Grad Norm: 21.64
Acc@10: 0.8810, Acc@20: 0.9750, Param Norm: 64.87, Grad Norm: 12.90
Acc@10: 0.8990, Acc@20: 0.9680, Param Norm: 65.15, Grad Norm: 15.13
Acc@10: 0.8760, Acc@20: 0.9580, Param Norm: 65.38, Grad Norm: 16.71
Acc@10: 0.8800, Acc@20: 0.9670, Param Norm: 65.65, Grad Norm: 15.39
Acc@10: 0.8730, Acc@20: 0.9540, Param Norm: 65.98, Grad Norm: 18.53
Acc@10: 0.8820, Acc@20: 0.9690, Param Norm: 66.21, Grad Norm: 19.22
Acc@10: 0.8830, Acc@20: 0.9600, Param Norm: 66.44, Grad Norm: 15.47
Acc@10: 0.8690, Acc@20: 0.9610, Param Norm: 66.68, Grad Norm: 22.20
Acc@10: 0.8510, Acc@20: 0.9550, Param Norm: 67.00, Grad Norm: 16.79
Acc@10: 0.8950, Acc@20: 0.9740, Param Norm: 67.26, Grad Norm: 12.37
Acc@10: 0.8740, Acc@20: 0.9750, Param Norm: 67.49, Grad Norm: 13.12
Acc@10: 0.8960, Acc@20: 0.9710, Param Norm: 67.70, Grad Norm: 18.26
Acc@10: 0.8830, Acc@20: 0.9650, Param Norm: 67.96, Grad Norm: 15.92
Acc@10: 0.8440, Acc@20: 0.9720, Param Norm: 68.25, Grad Norm: 13.08
Acc@10: 0.8760, Acc@20: 0.9690, Param Norm: 68.47, Grad Norm: 17.28
Acc@10: 0.8930, Acc@20: 0.9690, Param Norm: 68.74, Grad Norm: 16.19
Acc@10: 0.8990, Acc@20: 0.9780, Param Norm: 68.96, Grad Norm: 15.30
